Se han creado |Se han creado 
cantViajes ?&gt; servicios repetidos. El detalle de los mismos se detalla a continuaci&oacute;n: |cantViajes ?> servicios repetidos. El detalle de los mismos se detalla a continuación: 
Creador: |Creador: 
Tickets: |Tickets: 
Fechas: |Fechas: 
Hora: |Hora: 
hssalida ?&gt;:|hssalida ?>:
Origen: |Origen: 
Destino: |Destino: 
Tel&eacute;fono: |Teléfono: 
Km. Aprox.: |Km. Aprox.: 
 Km.| Km.
Pasajeros: |Pasajeros: 
Comentarios: |Comentarios: 
 El Equipo de Viapool| El Equipo de Viapool
