Liquidaci&oacute;n|Liquidación
Estas son las facturas cerradas por los proveedores. Haciendo click en &quot;Ver Detalle&quot; podr&aacute;s ver los viajes asignados y rechazarlos de ser necesario para su revisi&oacute;n. Para finalizar el proceso de facturaci&oacute;n de cada factura, hacer click en &quot;Aprobar&quot;.|Estas son las facturas cerradas por los proveedores. Haciendo click en "Ver Detalle" podrás ver los viajes asignados y rechazarlos de ser necesario para su revisión. Para finalizar el proceso de facturación de cada factura, hacer click en "Aprobar".
Factura|Factura
Proveedor|Proveedor
Viajes|Viajes
Distancia|Distancia
Vuelta|Vuelta
Espera|Espera
Peajes|Peajes
Estacionamiento|Estacionamiento
Total|Total
M&aacute;s opciones|Más opciones
 Km.| Km.
 $| $
 $| $
 Mins.| Mins.
Aprobar|Aprobar
Aprobar|Aprobar
APROBADA|APROBADA
Ver detalle|Ver detalle
Detalle x empresas|Detalle x empresas
