Gesti&oacute;n de movilidad|Gestión de movilidad
Hac&eacute; click en &quot;Generar solicitud&quot; para cargar un nuevo pedido y en &quot;Solicitudes&quot; para confirmar / rechazar todas las solicitudes aprobadas.|Hacé click en "Generar solicitud" para cargar un nuevo pedido y en "Solicitudes" para confirmar / rechazar todas las solicitudes aprobadas.
Hac&eacute; click en &quot;Facturaci&oacute;n&quot; para ingresar los datos de cada viaje y en &quot;Liquicaci&oacute;n&quot; para cerrar las facturas.|Hacé click en "Facturación" para ingresar los datos de cada viaje y en "Liquicación" para cerrar las facturas.
Hac&eacute; click en &quot;Facturaci&oacute;n&quot; para ingresar los datos de cada viaje.|Hacé click en "Facturación" para ingresar los datos de cada viaje.
Hac&eacute; click en &quot;Generar solicitud&quot; para cargar un nuevo pedido y en &quot;Solicitudes&quot; para aprobar / rechazar todas las solicitudes generadas.|Hacé click en "Generar solicitud" para cargar un nuevo pedido y en "Solicitudes" para aprobar / rechazar todas las solicitudes generadas.
Hac&eacute; click en &quot;Cargar servicio solicitud&quot; para cargar un nuevo pedido y en &quot;Servicios a aprobar&quot; para aprobar / rechazar todas las solicitudes generadas.|Hacé click en "Cargar servicio solicitud" para cargar un nuevo pedido y en "Servicios a aprobar" para aprobar / rechazar todas las solicitudes generadas.
 Desde aqu&iacute; podr&aacute;s gestionar tus pedidos de remises, mensajer&iacute;a y minifletes. | Desde aquí podrás gestionar tus pedidos de remises, mensajería y minifletes. 
 Para realizar un pedido de rem&iacute;s debes hacer click en &quot;Generar solicitud&quot; o en &quot;Solicitudes&quot; para visualizar el status de tus pedidos o cancelarlos. | Para realizar un pedido de remís debes hacer click en "Generar solicitud" o en "Solicitudes" para visualizar el status de tus pedidos o cancelarlos. 
 Si necesit&aacute;s solicitar una moto o mini-flete deb&eacute;s hacerlo desde el m&oacute;dulo de mensajer&iacute;a. | Si necesitás solicitar una moto o mini-flete debés hacerlo desde el módulo de mensajería. 
Condiciones de uso de Remises|Condiciones de uso de Remises
Antes de generar una nueva solicitud, el sistema buscar&aacute; si ya existe alg&uacute;n viaje cargado por otro compa&ntilde;ero con las mismas caracter&iacute;sticas que el tuyo.|Antes de generar una nueva solicitud, el sistema buscará si ya existe algún viaje cargado por otro compañero con las mismas características que el tuyo.
En los casos que exista una solicitud igual a la tuya, podr&aacute;s optar por subirte al remis de tu compa&ntilde;ero.|En los casos que exista una solicitud igual a la tuya, podrás optar por subirte al remis de tu compañero.
 Pod&eacute;s descargarte el manual de usuario | Podés descargarte el manual de usuario 
aqu&iacute;.|aquí.
Pod&eacute;s descargarte las pol&iacute;ticas de remises para Planta Pilar |Podés descargarte las políticas de remises para Planta Pilar 
aqu&iacute;.|aquí.
Solicitud de remises|Solicitud de remises
Generar Solicitud|Generar Solicitud
Solicitudes|Solicitudes
Solicitud de remises|Solicitud de remises
Generar Solicitud|Generar Solicitud
Solicitudes|Solicitudes
Solicitudes Mesa|Solicitudes Mesa
Solicitudes Proveedor|Solicitudes Proveedor
Facturas por revisar|Facturas por revisar
Reportes Remises|Reportes Remises
Solicitud de remises|Solicitud de remises
Generar Solicitud|Generar Solicitud
Solicitudes|Solicitudes
Solicitudes Proveedor|Solicitudes Proveedor
Solicitud de remises|Solicitud de remises
Generar Solicitud|Generar Solicitud
Solicitudes|Solicitudes
Facturaci&oacute;n|Facturación
Liquidaci&oacute;n|Liquidación
Solicitud de remises|Solicitud de remises
Generar Solicitud|Generar Solicitud
Solicitudes|Solicitudes
Solicitud de remises|Solicitud de remises
Facturaci&oacute;n|Facturación
Importar datos facturaci&oacute;n|Importar datos facturación
Solicitud de remises|Solicitud de remises
Facturaci&oacute;n|Facturación
Importar datos facturaci&oacute;n|Importar datos facturación
Liquidaci&oacute;n|Liquidación
Exportar Datos Facturaci&oacute;n|Exportar Datos Facturación
Exportar Datos Facturaci&oacute;n a Excel|Exportar Datos Facturación a Excel
Mensajer&iacute;a|Mensajería
Cargar Servicio|Cargar Servicio
Servicios a Aprobar|Servicios a Aprobar
Reportes Mensajer&iacute;a|Reportes Mensajería
Mis servicios solicitados|Mis servicios solicitados
Mensajer&iacute;a|Mensajería
Cargar Servicio|Cargar Servicio
Servicios a Aprobar|Servicios a Aprobar
Mensajer&iacute;a &amp; Fletes|Mensajería & Fletes
Solicitudes|Solicitudes
Opciones Generales|Opciones Generales
Agregar costo indirecto|Agregar costo indirecto
Modificar costo indirecto|Modificar costo indirecto
Consulta datos de usuario|Consulta datos de usuario
