Reportes Remises|Reportes Remises
Seleccione el reporte que desea exportar.|Seleccione el reporte que desea exportar.
 Formato de exportaci&oacute;n:| Formato de exportación:
Excel|Excel
CSV|CSV
Por tickets|Por tickets
Tipo|Tipo
Ticket|Ticket
Desde|Desde
Hasta|Hasta
Factura|Factura
Estado|Estado
Combinado|Combinado
Por pasajero|Por pasajero
Tipo|Tipo
Pasajero|Pasajero
Desde|Desde
Hasta|Hasta
Factura|Factura
Estado|Estado
Combinado|Combinado
Por centro de costo|Por centro de costo
Tipo|Tipo
Centro Costo|Centro Costo
Desde|Desde
Hasta|Hasta
Factura|Factura
Estado|Estado
Combinado|Combinado
Por proveedor|Por proveedor
Tipo|Tipo
Proveedor|Proveedor
Desde|Desde
Hasta|Hasta
Factura|Factura
Estado|Estado
Combinado|Combinado
Por empresa|Por empresa
Tipo|Tipo
empresa|empresa
C. Costo|C. Costo
Desde|Desde
Hasta|Hasta
Factura|Factura
Estado|Estado
Combinado|Combinado
