Solicitudes|Solicitudes
Estas son todas las solicitudes aprobadas. Hac&eacute; click en &quot;Confirmar&quot; para aceptar el pedido generado.|Estas son todas las solicitudes aprobadas. Hacé click en "Confirmar" para aceptar el pedido generado.
Resultados por p&aacute;gina:|Resultados por página:
Ticket|Ticket
Comb.|Comb.
Creador|Creador
Pasajeros (Ceco-Empresa)|Pasajeros (Ceco-Empresa)
Origen / Destino|Origen / Destino
Fecha|Fecha
 Hora | Hora 
Espera|Espera
Estado|Estado
M&aacute;s opciones|Más opciones
&#39; . &#39;|' . '
&#39; . &#39;|' . '
 (| (
O: |O: 
D: |D: 
&nbsp;Hs.| Hs.
Sin espera|Sin espera
CONFIRMAR|CONFIRMAR
RECHAZAR|RECHAZAR
RECHAZAR|RECHAZAR
Cancelar|Cancelar
Cancelar|Cancelar
M&aacute;s info|Más info
