Solicitudes|Solicitudes
Estas son todas las solicitudes aprobadas. Hac&eacute; click en &quot;Confirmar&quot; para aceptar el pedido generado.|Estas son todas las solicitudes aprobadas. Hacé click en "Confirmar" para aceptar el pedido generado.
Ticket|Ticket
Proveedor|Proveedor
Creador|Creador
Pasajeros|Pasajeros
Origen / Destino|Origen / Destino
Fecha Hora|Fecha Hora
Espera|Espera
Estado|Estado
M&aacute;s opciones|Más opciones
O: |O: 
D: |D: 
&nbsp;Hs.| Hs.
Sin espera|Sin espera
M&aacute;s info|Más info
