Solicitudes|Solicitudes
Estas son todos los servicios solicitados. Hac&eacute; click en &quot;Confirmar&quot; para aceptar el pedido generado.|Estas son todos los servicios solicitados. Hacé click en "Confirmar" para aceptar el pedido generado.
Resultdos por p&aacute;gina:|Resultdos por página:
Ticket|Ticket
Comb.|Comb.
Creador|Creador
Pasajeros (Ceco-Empresa)|Pasajeros (Ceco-Empresa)
Origen / Destino|Origen / Destino
Fecha Hora|Fecha Hora
Tel.|Tel.
Estado|Estado
M&aacute;s opciones|Más opciones
&#39; . &#39;|' . '
&#39; . &#39;|' . '
 (| (
O: |O: 
D: |D: 
&nbsp;Hs.| Hs.
CONFIRMAR|CONFIRMAR
RECHAZAR|RECHAZAR
Cancelar|Cancelar
M&aacute;s info|Más info
