Viajes facturados|Viajes facturados
Estos son todos los viajes asociados a la factura cerrada |Estos son todos los viajes asociados a la factura cerrada 
 del Proveedor | del Proveedor 
. Para rechazarlos seleccion&aacute; los que desees y luego hac&eacute; click en &quot;Rechazar&quot;.|. Para rechazarlos seleccioná los que desees y luego hacé click en "Rechazar".
Ticket Fecha Hora|Ticket Fecha Hora
Pasajeros|Pasajeros
Origen / Destino|Origen / Destino
Tarifa |Tarifa 
Tipo Viaje |Tipo Viaje 
Dist. estimada|Dist. estimada
Recorrido Espera|Recorrido Espera
Estac. Peaje|Estac. Peaje
Vuelta|Vuelta
Total Voucher|Total Voucher
Opciones|Opciones
&nbsp;Hs. | Hs. 
O: |O: 
D: |D: 
 Km. | Km. 
&nbsp;Km.| Km.
&nbsp;Min | Min 
