Solicitudes|Solicitudes
Estos son los tickets que el sistema del proveedor tiene pendiente de confirmar la reasignacion.|Estos son los tickets que el sistema del proveedor tiene pendiente de confirmar la reasignacion.
Ticket|Ticket
Comb.|Comb.
Proveedor|Proveedor
Creador|Creador
Pasajeros|Pasajeros
Origen / Destino|Origen / Destino
Fecha Hora|Fecha Hora
Espera|Espera
Estado|Estado
M&aacute;s opciones|Más opciones
&#39; . &#39;|' . '
&#39; . &#39;|' . '
(|(
Origen: |Origen: 
Destino: |Destino: 
&nbsp;Hs.| Hs.
Sin espera|Sin espera
Reasignar|Reasignar
Confirmar|Confirmar
Sin servicio|Sin servicio
